Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nrc,118,133,142,148,148,148,,,,
nrc,118,124,127,136,139,151,,,,154
nrc,115,127,136,139,142,151,151,145,,
nrc,118,121,127,130,133,139,139,145,154,154
nrc,118,124,142,148,148,148,154,154,154,154
nrc,106,115,124,127,130,139,142,145,148,148
nrc,118,124,127,136,139,142,142,142,151,
nrc,127,124,133,136,145,151,151,151,154,
nrc,124,133,145,148,151,154,,,,
nrc,124,133,148,154,,,,,,
nrc,124,127,130,136,136,139,139,151,151,148
nrc,124,127,139,139,136,148,154,,,
nrc,118,133,145,142,151,148,148,151,,
nrc,130,145,154,151,,,,,,
nrc,121,133,139,145,148,151,154,,,
nrc,121,139,145,148,151,154,,,,
nrc,130,130,136,139,139,142,145,148,148,154
nrc,118,121,130,136,139,139,142,142,139,151
nrc,118,124,121,130,133,136,136,139,142,148
nrc,118,130,133,142,145,148,148,151,151,154
nrc,115,124,133,139,142,142,145,148,151,148
nrc,118,130,133,142,145,148,148,151,151,
nrc,106,121,121,130,136,136,142,139,145,145
nrc,106,121,127,133,136,139,139,145,148,151
nrr,115,109,136,139,145,145,154,,,
nrr,136,136,142,145,145,151,148,148,148,154
nrr,124,139,142,148,151,154,154,154,,
nrr,127,136,142,148,148,151,,,,
nrr,118,136,145,148,148,154,,,,
nrr,130,142,154,,,,,154,,
nrr,130,139,,,,,,,,
nrr,130,154,,,,,,,,
nrr,121,136,139,148,151,154,,,,
nrr,127,148,,,151,,,,,
nrr,115,133,145,148,151,154,,,,
nrr,112,136,145,151,,,,,,
nrr,121,142,145,148,151,154,,,154,
nrr,124,145,148,151,154,,,,,
nrr,121,130,139,145,151,,,,,
nrr,133,139,151,,,,,,,
nrr,130,148,151,154,154,,,,,
nrr,136,154,,,,,,,,
nrr,124,136,139,148,154,,154,,,
nrr,136,151,148,154,,,,,,
nrr,130,142,148,154,,,,,,
nrr,127,145,151,,,,,,,
nrr,118,130,139,142,145,154,,,,
nrr,139,139,145,154,151,151,,,,