ReproductiveState,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nr,118,133,142,148,148,148,,,,
nr,118,124,127,136,139,151,,,,154
nr,115,127,136,139,142,151,151,145,,
nr,118,121,127,130,133,139,139,145,154,154
nr,118,124,142,148,148,148,154,154,154,154
nr,106,115,124,127,130,139,142,145,148,148
nr,118,124,127,136,139,142,142,142,151,
nr,127,124,133,136,145,151,151,151,154,
nr,124,133,145,148,151,154,,,,
nr,124,133,148,154,,,,,,
nr,124,127,130,136,136,139,139,151,151,148
nr,124,127,139,139,136,148,154,,,
nr,118,133,145,142,151,148,148,151,,
nr,130,145,154,151,,,,,,
nr,121,133,139,145,148,151,154,,,
nr,121,139,145,148,151,154,,,,
nr,130,130,136,139,139,142,145,148,148,154
nr,118,121,130,136,139,139,142,142,139,151
nr,118,124,121,130,133,136,136,139,142,148
nr,118,130,133,142,145,148,148,151,151,154
nr,115,124,133,139,142,142,145,148,151,148
nr,118,130,133,142,145,148,148,151,151,
nr,106,121,121,130,136,136,142,139,145,145
nr,106,121,127,133,136,139,139,145,148,151
r,118,124,136,139,145,145,151,154,,
r,127,133,142,145,154,,151,,,
r,127,130,136,139,139,142,148,151,,
r,133,130,139,142,145,151,151,148,,
r,118,127,130,130,136,139,136,145,148,
r,124,133,136,139,151,151,151,154,151,
r,106,118,133,133,142,136,148,151,151,151
r,127,130,136,145,148,148,151,,,
r,118,127,136,139,145,145,151,154,154,
r,106,121,124,130,136,139,145,148,151,151
r,106,112,121,124,130,133,139,142,145,151
r,106,112,127,127,121,124,127,139,139,151
r,109,124,124,133,136,136,145,148,148,154
r,115,124,127,127,124,136,142,148,148,151
r,112,121,124,124,145,145,145,148,148,151
r,106,124,121,136,133,136,145,145,148,148
r,115,127,130,136,139,142,145,148,151,151
r,106,121,124,124,133,139,139,145,148,151
r,115,130,133,136,136,142,145,148,148,148
r,103,112,118,124,133,133,139,139,139,145
r,109,115,118,121,124,129,129,129,145,148
r,109,124,130,133,136,142,145,148,148,154
r,106,118,121,127,133,136,139,139,145,148
r,100,109,115,124,127,133,133,133,136,139