118,124,136,139,145,145,151,154,,
127,133,142,145,154,,151,,,
127,130,136,139,139,142,148,151,,
133,130,139,142,145,151,151,148,,
118,127,130,130,136,139,136,145,148,
124,133,136,139,151,151,151,154,151,
106,118,133,133,142,136,148,151,151,151
127,130,136,145,148,148,151,,,
118,127,136,139,145,145,151,154,154,
106,121,124,130,136,139,145,148,151,151
106,112,121,124,130,133,139,142,145,151
106,112,127,127,121,124,127,139,139,151
109,124,124,133,136,136,145,148,148,154
115,124,127,127,124,136,142,148,148,151
112,121,124,124,145,145,145,148,148,151
106,124,121,136,133,136,145,145,148,148
115,127,130,136,139,142,145,148,151,151
106,121,124,124,133,139,139,145,148,151
115,130,133,136,136,142,145,148,148,148
103,112,118,124,133,133,139,139,139,145
109,115,118,121,124,129,129,129,145,148
109,124,130,133,136,142,145,148,148,154
106,118,121,127,133,136,139,139,145,148
100,109,115,124,127,133,133,133,136,139